"日期","收市","開市","高","低","成交量","更改%"
"2021年11月10日","19.53","18.95","20.30","18.45","111.73K","3.32%"
"2021年11月9日","18.90","18.40","19.60","18.40","91.12K","2.19%"
"2021年11月8日","18.49","18.45","18.95","17.95","72.75K","0.30%"
"2021年11月5日","18.44","17.35","18.55","17.00","98.15K","5.95%"
"2021年11月4日","17.40","17.22","17.80","16.83","71.71K","1.73%"
"2021年11月3日","17.11","17.90","18.15","17.00","61.91K","-4.16%"
"2021年11月2日","17.85","18.45","18.66","17.81","44.99K","-2.99%"
"2021年11月1日","18.40","18.75","19.26","18.35","49.12K","-2.02%"
"2021年10月29日","18.78","18.95","19.55","18.65","60.18K","0.69%"
"2021年10月28日","18.65","19.30","19.35","18.60","52.07K","-3.61%"
"2021年10月27日","19.35","18.95","19.50","18.40","77.33K","2.25%"
"2021年10月26日","18.92","18.60","19.40","18.25","60.97K","2.02%"
"2021年10月25日","18.55","19.25","19.45","18.50","48.51K","-2.89%"
"2021年10月22日","19.10","18.95","19.60","18.55","67.02K","2.16%"
"2021年10月21日","18.70","19.35","19.70","18.65","55.51K","21.81%"
"2021年10月20日","15.35","16.00","16.15","15.75","0.81K","-3.85%"
"2021年10月19日","15.96","16.80","16.90","15.90","42.92K","-3.93%"
"2021年10月18日","16.62","17.05","17.81","16.55","54.05K","-3.23%"
"2021年10月15日","17.17","17.66","17.77","16.75","48.80K","-2.44%"
"2021年10月14日","17.60","19.18","19.18","17.57","-","-8.09%"
"2021年10月13日","19.15","20.10","20.20","19.10","66.69K","-2.87%"
"2021年10月12日","19.72","20.20","20.80","19.43","63.01K","-2.15%"
"2021年10月11日","20.15","19.90","20.60","19.00","65.38K","2.20%"
"2021年10月8日","19.72","20.15","20.37","19.38","68.07K","-1.91%"
"2021年10月7日","20.10","21.30","21.31","20.00","64.99K","-5.26%"
"2021年10月6日","21.22","21.60","23.55","21.15","109.56K","-2.47%"
"2021年10月5日","21.75","22.75","23.55","21.10","84.14K","-4.09%"
"2021年10月4日","22.68","21.65","23.61","21.25","108.05K","3.12%"
